#,Overall,Points,Value
137,Tyjae Spears (TEN - RB)DTD,17,$17
138,Zach Charbonnet (SEA - RB)PUP,17,$17
139,Jared Goff (DET - QB),16,$16
140,Woody Marks (HOU - RB),16,$16
141,Jalen McMillan (TB - WR)DTD,16,$16
142,Jauan Jennings (MIN - WR),16,$16
143,Tyler Shough (NO - QB),15,$15
144,Jalen Nailor (LV - WR),15,$15
145,Tyrone Tracy Jr. (NYG - RB),14,$14
146,Isiah Pacheco (DET - RB)DTD,14,$14
147,Hunter Henry (NE - TE),14,$14
148,Baker Mayfield (TB - QB),13,$13
149,Juwan Johnson (NO - TE),13,$13
150,Brenton Strange (JAC - TE),13,$13
151,Kyler Murray (MIN - QB),12,$12
152,Justice Hill (BAL - RB),11,$11
153,Cooper Kupp (SEA - WR),11,$11
154,Daniel Jones (IND - QB),10,$10
155,Dalton Schultz (HOU - TE),10,$10
156,Chris Rodriguez Jr. (JAC - RB),9,$9
157,Dylan Sampson (CLE - RB),9,$9
158,Brian Robinson Jr. (ATL - RB),9,$9
159,AJ Dillon (CAR - RB),9,$9
160,Malik Willis (MIA - QB),8,$8
161,Samaje Perine (CIN - RB),8,$8
162,Tyler Allgeier (ARI - RB),8,$8
163,Ty Johnson (BUF - RB),8,$8
164,Jordan James (SF - RB)DTD,8,$8
165,Ja'Kobi Lane (BAL - WR),8,$8
166,Tank Bigsby (PHI - RB),7,$7
167,Braelon Allen (NYJ - RB),7,$7
168,Adonai Mitchell (NYJ - WR),7,$7
169,Jordan Love (GB - QB),6,$6
170,Keaton Mitchell (LAC - RB),6,$6
171,Mike Washington Jr. (LV - RB),6,$6
172,Emari Demercado (KC - RB),6,$6
173,Omar Cooper Jr. (NYJ - WR),6,$6
174,"Travis Hunter (JAC - WR,CB)",6,$6
175,T.J. Hockenson (MIN - TE),6,$6
176,Sam Darnold (SEA - QB),5,$5
177,MarShawn Lloyd (GB - RB),5,$5
178,Germie Bernard (PIT - WR),5,$5
179,Kayshon Boutte (NE - WR),5,$5
180,Bub Means (NO - WR),5,$5
181,Pat Freiermuth (PIT - TE),5,$5
182,Kaelon Black (SF - RB),4,$4
183,Antonio Williams (WAS - WR),4,$4
184,Darnell Mooney (NYG - WR),4,$4
185,Malik Washington (MIA - WR),4,$4
186,Greg Dulcich (MIA - TE),4,$4
187,C.J. Stroud (HOU - QB),3,$3
188,Malik Davis (DAL - RB),3,$3
189,Tyquan Thornton (KC - WR),3,$3
190,Kenyon Sadiq (NYJ - TE)DTD,3,$3
191,Houston Texans (HOU - DST),3,$3
192,Denver Broncos (DEN - DST),3,$3
193,Chris Brooks (GB - RB),2,$2
194,Adam Randall (BAL - RB),2,$2
195,Zachariah Branch (ATL - WR),2,$2
196,Tory Horton (SEA - WR),2,$2
197,Troy Franklin (DEN - WR),2,$2
198,Darius Slayton (NYG - WR),2,$2
199,Devaughn Vele (NO - WR),2,$2
200,Christian Kirk (SF - WR)DTD,2,$2
201,Minnesota Vikings (MIN - DST),2,$2
202,Pittsburgh Steelers (PIT - DST),2,$2
203,Seattle Seahawks (SEA - DST),2,$2
204,Los Angeles Chargers (LAC - DST),2,$2
205,Detroit Lions (DET - DST),2,$2
206,Los Angeles Rams (LAR - DST),2,$2
207,Buffalo Bills (BUF - DST),2,$2
208,Bryce Young (CAR - QB),1,$1
209,Kimani Vidal (LAC - RB),1,$1
210,James Conner (ARI - RB)DTD,1,$1
211,Xavier Legette (CAR - WR),1,$1
212,Dontayvion Wicks (PHI - WR),1,$1
213,Cade Otton (TB - TE),1,$1
214,AJ Barner (SEA - TE),1,$1
215,Philadelphia Eagles (PHI - DST),1,$1
216,Atlanta Falcons (ATL - DST),1,$1
217,Baltimore Ravens (BAL - DST),1,$1
218,Chicago Bears (CHI - DST),1,$1
219,Cleveland Browns (CLE - DST),1,$1
220,New Orleans Saints (NO - DST),1,$1
221,Jacksonville Jaguars (JAC - DST),1,$1
222,Brandon Aubrey (DAL - K),1,$1
223,Jason Myers (SEA - K),1,$1
224,Ka'imi Fairbairn (HOU - K),1,$1
225,Cameron Dicker (LAC - K),1,$1
226,Harrison Mevis (LAR - K),1,$1
227,Jake Bates (DET - K),1,$1
228,Cairo Santos (CHI - K),1,$1
229,Blake Grupe (IND - K),1,$1
230,Chase McLaughlin (TB - K),1,$1
231,Eddy Pineiro (SF - K),1,$1
232,Tyler Loop (BAL - K),1,$1
